cate_id,img_url,org_url,prd_nm,prd_id,rate_cnt,rate_val,sales_price,seller_nm,cate_nm,has_stock
10202,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/161000778515628328.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/643234/selling?affect_type=ProductCategoryIndex&affect_id=,알러지케어 9존 먼지없는 토퍼 11cm,643234,290,4.7,"29,900",오늘의집,토퍼,True
10202,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160992483430770483.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/350061/selling?affect_type=ProductCategoryIndex&affect_id=,그린티 메모리폼 토퍼 (10cm),350061,"1,286",4.7,"72,760",오늘의집,토퍼,True
10202,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/157119005844288872.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/188800/selling?affect_type=ProductCategoryIndex&affect_id=,어메이징 빨아쓰는  9존 미약 매트리스 토퍼 MS/SS/Q,188800,"1,378",4.6,"28,500",오늘의집,토퍼,True
10104,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/158216129189491012.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/241182/selling?affect_type=StoreSearchResult&affect_id=20,무료배송 원목 매트리스깔판 롤베드 저상형 침대프레임 6size,241182,"1,787",4.5,"37,900",오늘의집,깔판,True
10202,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/158711195472954586.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/100173/selling?affect_type=ProductCategoryIndex&affect_id=,매트리스 토퍼 베이직 SS/Q/K,100173,324,4.6,"239,000",오늘의집,토퍼,True
10201,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1554689115683_1yQsSSjPgV.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/40418/selling?affect_type=ProductCategoryIndex&affect_id=,Q3 롤팩 유로탑 매트리스 SS/Q,40418,"1,101",4.8,"269,900",오늘의집,매트리스,True
103,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162003456986828294.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/19683/selling?affect_type=ProductCategoryIndex&affect_id=,스완 원목 수납 화장대 2colors (희망일배송/내일배송),19683,"5,952",4.4,"63,900",오늘의집,화장대,True
10202,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/161233345483007247.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/299366/selling?affect_type=ProductCategoryIndex&affect_id=,7존 마약매트리스 8cm 침대 토퍼 (MS/SS/Q),299366,"1,588",4.6,"46,900",오늘의집,토퍼,True
103,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/161335917537425384.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/509198/selling?affect_type=ProductCategoryIndex&affect_id=,리브 원목 화장대 2colors,509198,462,4.5,"319,900",오늘의집,화장대,True
103,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/161518057238272750.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/222387/selling?affect_type=ProductCategoryIndex&affect_id=,루나 900 헐리우드 LED조명 수납화장대 2colors,222387,"1,397",4.6,"108,000",오늘의집,화장대,True
