,Unnamed: 0,Unnamed: 0.1,cate_id,img_url,org_url,prd_nm,prd_id,rate_cnt,rate_val,sales_price,cate_nm,seller_id,has_stock
0,0,0,10101,http://gdimg.gmarket.co.kr/338385109/still/600?ver=1614748458,http://item.gmarket.co.kr/Item?goodscode=338385109,전국 빠른배송 단면 침대매트리스 싱글 발통 19.5cm ,338385109,"3,104",0,"58,700",일반침대,12,1
1,1,1,10101,http://gdimg.gmarket.co.kr/505777244/still/600?ver=1616662298,http://item.gmarket.co.kr/Item?goodscode=505777244,한정판매 오로라 LED 유로탑 침대세트 슈퍼싱글 퀸 ,505777244,286,0,"169,000",일반침대,12,1
2,2,2,10101,http://gdimg.gmarket.co.kr/2051289885/still/600?ver=1614749118,http://item.gmarket.co.kr/Item?goodscode=2051289885,전국 빠른배송 단면 침대매트리스 더블 퀸 발통 19.5 ,2051289885,87,0,"98,900",일반침대,12,1
3,3,3,10101,http://gdimg.gmarket.co.kr/866444375/still/600?ver=1623822010,http://item.gmarket.co.kr/Item?goodscode=866444375,아임빅 수납침대 SS 일반헤드형 프레임 ,866444375,171,0,"346,160",일반침대,12,1
4,4,4,10101,http://gdimg.gmarket.co.kr/364516803/still/600?ver=1617937329,http://item.gmarket.co.kr/Item?goodscode=364516803,HP-평상형 슈퍼싱글 + 파워본넬자가드 매트리스포함 ,364516803,617,0,"214,520",일반침대,12,1
5,5,5,10101,http://gdimg.gmarket.co.kr/1844597165/still/600?ver=1624462732,http://item.gmarket.co.kr/Item?goodscode=1844597165,동서가구  프레쉬 편백나무 원목 LED 평상형 침대 Q 프레임 ,1844597165,3,0,"250,800",일반침대,12,1
6,6,6,10101,http://gdimg.gmarket.co.kr/604670814/still/600?ver=1515662932,http://item.gmarket.co.kr/Item?goodscode=604670814,Ibed 싱글 슈퍼싱글 라텍스 독립 매트리스침대 ,604670814,141,0,"126,800",일반침대,12,1
7,7,7,10101,http://gdimg.gmarket.co.kr/602119941/still/600?ver=1605056356,http://item.gmarket.co.kr/Item?goodscode=602119941,(시즌특가) 피톤치드 S 싱글 편백나무침대 DF911244-1 ,602119941,158,0,"198,000",일반침대,12,1
8,8,8,10102,http://gdimg.gmarket.co.kr/1544643955/still/600?ver=1624807601,http://item.gmarket.co.kr/Item?goodscode=1544643955,에몬스 클레어 에디션 침대 슈퍼싱글(SS) ,1544643955,389,0,"509,570",수납침대,12,1
9,9,9,10102,http://gdimg.gmarket.co.kr/339279146/still/600?ver=1608190437,http://item.gmarket.co.kr/Item?goodscode=339279146,미니피스 싱글 슈퍼싱글+파워본넬자가드 매트리스포함 ,339279146,"1,742",0,"155,720",수납침대,12,1
10,10,10,10102,http://gdimg.gmarket.co.kr/881522684/still/600?ver=1623818007,http://item.gmarket.co.kr/Item?goodscode=881522684,아임빅 수납침대 SS 일반헤드형+노뜨LFK매트 ,881522684,791,0,"467,020",수납침대,12,1
