,Unnamed: 0,Unnamed: 0.1,cate_id,img_url,org_url,prd_nm,prd_id,rate_cnt,rate_val,sales_price,cate_nm,check,seller_id,has_stock
43,43,43,40201,//item.ssgcdn.com/88/11/52/item/1000030521188_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000030521188&siteNo=6004&salestrNo=6005,듀오백 DK 043W 회의실의자 독서실의자 공부의자,1000030521188,37,4.6,"71,532",책상의자,성공,15,1
44,44,44,40202,//item.ssgcdn.com/52/98/00/item/1000027009852_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000027009852&siteNo=6004&salestrNo=6005&tlidSrchWd=%EB%94%94%EC%9E%90%EC%9D%B8%20%EC%9D%98%EC%9E%90&srchPgNo=1&src_area=ssglist,ST스튜디오잡블로우폴딩체어,1000027009852,8,5.3,"116,410",인테리어의자,성공,15,1
45,45,45,40202,//item.ssgcdn.com/52/13/47/item/1000050471352_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000050471352&siteNo=6004&salestrNo=6005&tlidSrchWd=%EB%94%94%EC%9E%90%EC%9D%B8%20%EC%9D%98%EC%9E%90&srchPgNo=1&src_area=ssglist,[끌레오] 벨벳 원형 등받이 골드 체어 4Color_CL378,1000050471352,1,5.0,"80,883",인테리어의자,성공,15,1
46,46,46,40202,//item.ssgcdn.com/74/59/89/item/1000039895974_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000039895974&siteNo=6004&salestrNo=6005&tlidSrchWd=%EB%94%94%EC%9E%90%EC%9D%B8%20%EC%9D%98%EC%9E%90&srchPgNo=1&src_area=ssglist,린백 LB21K 카페 인테리어 원목 식탁의자,1000039895974,7,5.0,"26,695",인테리어의자,성공,15,1
47,47,47,40202,//item.ssgcdn.com/65/86/57/item/1000035578665_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000035578665&siteNo=6004&salestrNo=6005&tlidSrchWd=%EB%94%94%EC%9E%90%EC%9D%B8%20%EC%9D%98%EC%9E%90&srchPgNo=1&src_area=ssglist,시디즈 M02시리즈 M021E 디자인의자,1000035578665,140,4.8,"51,000",인테리어의자,성공,15,1
48,48,48,403,//item.ssgcdn.com/02/66/59/item/1000020596602_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000020596602&siteNo=6001&salestrNo=2034&tlidSrchWd=%EC%B1%85%EC%9E%A5&srchPgNo=1&src_area=ssglist,오픈책장 3단,1000020596602,196,4.8,"29,900",책장,성공,15,1
49,49,49,403,//item.ssgcdn.com/72/85/72/item/1000031728572_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000031728572&siteNo=6001&salestrNo=2034&tlidSrchWd=%EC%B1%85%EC%9E%A5&srchPgNo=1&src_area=ssglist,투웨이 책장,1000031728572,15,4.8,"49,900",책장,성공,15,1
50,50,50,403,//item.ssgcdn.com/32/67/91/item/1000029916732_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000029916732&siteNo=6004&salestrNo=6005&tlidSrchWd=%EC%B1%85%EC%9E%A5&srchPgNo=1&src_area=ssglist,래티스 책장,1000029916732,2,5.0,"106,709",책장,성공,15,1
51,51,51,403,//item.ssgcdn.com/21/82/75/item/1000022758221_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000022758221&siteNo=6001&salestrNo=2034&tlidSrchWd=%EC%B1%85%EC%9E%A5&srchPgNo=1&src_area=ssglist,오픈책장 더블3단,1000022758221,104,4.7,"54,900",책장,성공,15,1
52,52,52,8101,//item.ssgcdn.com/18/66/34/item/1000057346618_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000057346618&siteNo=6004&salestrNo=6005&tlidSrchWd=%EC%B9%B4%ED%8E%98%20%ED%85%8C%EC%9D%B4%EB%B8%94&srchPgNo=1&src_area=ssglist,브라우니 원목 접이식 카페 테이블_2sizes,1000057346618,3,5.0,"37,270",카페감성테이블,성공,15,1
53,53,53,8101,//item.ssgcdn.com/01/06/33/item/1000030330601_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000030330601&siteNo=6004&salestrNo=6005&tlidSrchWd=%EC%B9%B4%ED%8E%98%20%ED%85%8C%EC%9D%B4%EB%B8%94&srchPgNo=1&src_area=ssglist,헤론 라운드 카페테이블 600,1000030330601,2,4.5,"65,379",카페감성테이블,성공,15,1
54,54,54,8101,//item.ssgcdn.com/98/06/33/item/1000030330698_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000030330698&siteNo=6004&salestrNo=6005&tlidSrchWd=%EC%B9%B4%ED%8E%98%20%ED%85%8C%EC%9D%B4%EB%B8%94&srchPgNo=1&src_area=ssglist,헤론 스퀘어 카페테이블 600,1000030330698,1,5.0,"65,379",카페감성테이블,성공,15,1
55,55,55,8104,//item.ssgcdn.com/80/15/47/item/1000059471580_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000059471580&siteNo=6004&salestrNo=6005&tlidSrchWd=%EC%8B%9D%ED%83%81%EB%B3%B4&srchPgNo=1&src_area=ssglist,마우스 실리콘 테이블 매트 43640023645,1000059471580,3,5.0,"18,050",식탁보/테이블매트,성공,15,1
56,56,56,8104,//item.ssgcdn.com/58/94/49/item/1000043499458_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000043499458&siteNo=6004&salestrNo=6005&tlidSrchWd=%EC%8B%9D%ED%83%81%EB%B3%B4&srchPgNo=1&src_area=ssglist,고급자가드 화이트캐슬 원형 테이블보 [맞춤가능],1000043499458,1,5.0,"18,810",식탁보/테이블매트,성공,15,1
57,57,57,8104,//item.ssgcdn.com/57/03/10/item/1000037100357_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000037100357&siteNo=6004&salestrNo=6005&tlidSrchWd=%EC%8B%9D%ED%83%81%EB%B3%B4&srchPgNo=1&src_area=ssglist,컴포트 내츄럴 키친크로스,1000037100357,17,4.8,"7,426",식탁보/테이블매트,성공,15,1
58,58,58,8104,//item.ssgcdn.com/35/35/01/item/1000049013535_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000049013535&siteNo=6004&salestrNo=6005&tlidSrchWd=%EC%8B%9D%ED%83%81%EB%B3%B4&srchPgNo=1&src_area=ssglist,오벌 내추럴 파이버 테이블 매트 42923023052,1000049013535,2,5.0,"8,730",식탁보/테이블매트,성공,15,1
59,59,59,8104,//item.ssgcdn.com/82/45/54/item/1000034544582_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000034544582&siteNo=6004&salestrNo=6005,린넨 레이스 테이블매트,1000034544582,9,4.7,"7,426",식탁보/테이블매트,성공,15,1
60,60,60,8104,//item.ssgcdn.com/57/17/93/item/1000059931757_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000059931757&siteNo=6004&salestrNo=6005&tlidSrchWd=%ED%85%8C%EC%9D%B4%EB%B8%94%20%EB%9F%AC%EB%84%88&srchPgNo=1&src_area=ssglist,다이아몬드 테이블 러너 48232024052,1000059931757,2,5.0,"27,550",식탁보/테이블매트,성공,15,1
61,61,61,8303,//item.ssgcdn.com/62/09/22/item/1000067220962_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000067220962&siteNo=6004&salestrNo=6005&tlidSrchWd=%EC%88%A0%EC%9E%94&srchPgNo=1&src_area=ssglist,소르베 FTD술잔 6P세트,1000067220962,5,5.0,"46,550",술맛달달술잔,성공,15,1
62,62,62,8303,//item.ssgcdn.com/02/50/08/item/1000039085002_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000039085002&siteNo=6004&salestrNo=6005&tlidSrchWd=%EC%88%A0%EC%9E%94&srchPgNo=1&src_area=ssglist,휴대용 접이식 와인잔(와인잔 케이스포함)-루에나,1000039085002,15,4.9,"8,100",술맛달달술잔,성공,15,1
63,63,63,8303,//item.ssgcdn.com/37/24/49/item/1000030492437_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000030492437&siteNo=6009&salestrNo=1004,앙시 보클링 6P 진앙시(소주잔),1000030492437,126,4.8,"38,016",술맛달달술잔,성공,15,1
64,64,64,8303,//item.ssgcdn.com/59/68/56/item/1000035566859_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000035566859&siteNo=6004&salestrNo=6005,투명 물컵 42662409990,1000035566859,78,4.9,"5,820",술맛달달술잔,성공,15,1
65,65,65,8403,//item.ssgcdn.com/64/49/59/item/1000062594964_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000062594964&siteNo=6004&salestrNo=6005&tlidSrchWd=%EB%AA%A8%EB%8B%88%ED%84%B0%20%EB%B0%9B%EC%B9%A8%E3%84%B7%20&srchPgNo=1&src_area=ssglist,MV-G1A 27인치 스탠다드 화이트 싱글 모니터암 거치대 받침대 [EX159],1000062594964,0,,"25,900",게이밍책상꾸미기,성공,15,1
66,66,66,8403,//item.ssgcdn.com/61/01/15/item/1000044150161_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000044150161&siteNo=6004&salestrNo=6005&tlidSrchWd=%EB%AA%A8%EB%8B%88%ED%84%B0%20%EB%B0%9B%EC%B9%A8%E3%84%B7%20&srchPgNo=1&src_area=ssglist,셋탑박스 게임기 리모컨수납 TV 모니터 TOP 공간선반,1000044150161,10,4.6,"4,425",게이밍책상꾸미기,성공,15,1
